reset
z:-4.01724503044, rot:-0.0398519236583
z:-3.89837905645, rot:-0.0383884079737
z:-3.82383774396, rot:-0.032415014949
z:-4.03412538044, rot:-0.061293967356
z:-4.03505404517, rot:-0.0664802533265
z:-3.98444221951, rot:-0.10458436388
z:-3.95543034651, rot:-0.120345091621
z:-3.94375630223, rot:-0.13130461893
z:-3.95156671542, rot:-0.117810467359
z:-3.98642659068, rot:-0.0907247476044
z:-4.01435699852, rot:-0.115926746127
z:-3.99206659007, rot:-0.0931824966174
z:-3.98052586975, rot:-0.094687861208
z:-3.95819157538, rot:-0.0750388570042
z:-3.94457764752, rot:-0.0579477056557
z:-4.00542042056, rot:-0.0652717849998
z:-4.12640699971, rot:-0.0561608477276
z:-4.21000213853, rot:-0.0492648356632
z:-4.25945979424, rot:-0.0463736046799
z:-4.29321557822, rot:-0.011930860558
z:-4.34334427054, rot:0.0124351225471
z:-4.37602007609, rot:0.0482656307115
z:-4.4048233125, rot:0.0608210498548
z:-4.41175966291, rot:0.0920640401682
z:-4.36635076776, rot:0.111925251155
z:-4.30888587691, rot:0.132602419938
z:-4.2609212821, rot:0.150724594251
z:-4.23755675276, rot:0.134757302063
z:-4.25523782255, rot:0.102619442243
z:-4.29119640167, rot:0.119588127089
z:-4.33920323856, rot:0.118814460601
z:-4.34533161345, rot:0.118785725549
z:-4.36734303317, rot:0.10468476596
z:-4.34493217028, rot:0.115897838104
z:-4.34679224295, rot:0.133615647924
z:-4.34804359165, rot:0.129321457321
z:-4.31533933749, rot:0.147984785738
z:-4.35062070139, rot:0.147367076645
z:-4.37267259973, rot:0.154952664729
z:-4.39705294666, rot:0.145215937148
z:-4.37333813267, rot:0.174583657763
z:-4.33509630973, rot:0.169156755939
z:-4.35022187051, rot:0.153792255942
z:-4.34560767734, rot:0.164788307125
z:-4.32375536823, rot:0.143115361597
z:-4.29783683397, rot:0.12777202721
z:-4.30060275711, rot:0.110754529063
z:-4.31664648779, rot:0.0963821404576
z:-4.29636850747, rot:0.118953417077
z:-4.31691496935, rot:0.138669064869
z:-4.3598254958, rot:0.122756608415
z:-4.43744197948, rot:0.121020295578
z:-4.46016792658, rot:0.152343294274
z:-4.45225001089, rot:0.130839778979
z:-4.5599519504, rot:0.135499403023
z:-4.55650744961, rot:0.154969128936
z:-4.51354311267, rot:0.174670029563
z:-4.51253506188, rot:0.153632000618
z:-4.50513909092, rot:0.154746573795
z:-4.47815417414, rot:0.179262327893
z:-4.59752618447, rot:0.159172324168
z:-4.64094541535, rot:0.180292253007
z:-4.69552364424, rot:0.185320027337
z:-4.68185741848, rot:0.214422901544
z:-4.63736224443, rot:0.20585647932
z:-4.58110201542, rot:0.224677676194
z:-4.52993613855, rot:0.258981085047
z:-4.46923759227, rot:0.261742445188
z:-4.43868163379, rot:0.247599308842
z:-4.49710815981, rot:0.255429124894
z:-4.57841619786, rot:0.232254875443
z:-4.61125022978, rot:0.262742977015
z:-4.61891951927, rot:0.252981872913
z:-4.54435053077, rot:0.290880527308
z:-4.50154208515, rot:0.316013600477
z:-4.45968918059, rot:0.330015192469
z:-4.46927756463, rot:0.342291568641
z:-4.49909651342, rot:0.325405123258
z:-4.47838880088, rot:0.310098962786
z:-4.40456964844, rot:0.293991044723
z:-4.38448295747, rot:0.303939140406
z:-4.36278489251, rot:0.314810947422
z:-4.39563911131, rot:0.301930572312
z:-4.42030817063, rot:0.314295820117
z:-4.45171681763, rot:0.311631825994
z:-4.43099703838, rot:0.334536281551
z:-4.40448000863, rot:0.353988432987
z:-4.42638076855, rot:0.354499522551
z:-4.43764412242, rot:0.378362874755
z:-4.3898927409, rot:0.390221901287
z:-4.33840794453, rot:0.371660768599
z:-4.2963495367, rot:0.365736303853
z:-4.29976842985, rot:0.35027849415
z:-4.32046311842, rot:0.328114866436
z:-4.30342564782, rot:0.320624549672
z:-4.28124820493, rot:0.326630375968
z:-4.29102972499, rot:0.322840920129
z:-4.25894007419, rot:0.331310511281
z:-4.24698877373, rot:0.337880147034
z:-4.27470545439, rot:0.328775109014
